story_id	title	license	source_url
0001	A very tall man	CC-BY	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0001_a-very-tall-man.md
0002	Look at the animals	CC-BY-NC	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0002_look-at-the-animals.md
0003	School clothes	CC-BY-NC	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0003_school-clothes.md
0004	Goat, Dog, and Cow	CC-BY	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0004_goat-dog-and-cow.md
0006	Anansi and Wisdom	CC-BY	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0006_anansi-and-wisdom.md
0007	Looking for water	CC-BY	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0007_looking-for-water.md
0008	What are you doing?	CC-BY	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0008_what-are-you-doing.md
0009	Where is my cat?	CC-BY-NC	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0009_where-is-my-cat.md
0010	The Animals of Uganda	CC-BY	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0010_the-animals-of-uganda.md
0011	Father and son	CC-BY	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0011_father-and-son.md
0025	Stealing	CC-BY	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0025_stealing.md
0027	Decision	CC-BY	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0027_decision.md
0030	Feelings	CC-BY-NC	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0030_feelings.md
0049	The Rainbow	CC-BY	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0049_the-rainbow.md
0050	What type of teeth?	CC-BY	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0050_what-type-of-teeth.md
0052	Simbegwire	CC-BY	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0052_simbegwire.md
0053	This is me	CC-BY-NC	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0053_this-is-me.md
0057	Sane in the market	CC-BY	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0057_sane-in-the-market.md
0064	Joy goes to school	CC-BY	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0064_joy-goes-to-school.md
0066	Nozibele and the three hairs	CC-BY	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0066_nozibele-and-the-three-hairs.md
0067	Cooking	CC-BY-NC	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0067_cooking.md
0068	How many?	CC-BY-NC	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0068_how-many.md
0072	The Honeyguide's revenge	CC-BY	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0072_the-honeyguides-revenge.md
0073	Counting	CC-BY-NC	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0073_counting.md
0078	The adventures of Supercow	CC-BY-NC	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0078_the-adventures-of-supercow.md
0084	Demane and Demazane	CC-BY	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0084_demane-and-demazane.md
0086	Things I do at school	CC-BY	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0086_things-i-do-at-school.md
0087	I like to read	CC-BY	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0087_i-like-to-read.md
0089	Khalai talks to plants	CC-BY	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0089_khalai-talks-to-plants.md
0090	Huts in our village	CC-BY	https://raw.githubusercontent.com/global-asp/asp-source/master/en/0090_huts-in-our-village.md
