step	train_avg_loss	dev_rank1_f1	dev_edge_p	dev_edge_r	wall_s
250	15.863686	0.472293	0.483720	0.461393	159.32
500	12.560912	0.472052	0.438659	0.510947	322.65
750	9.081657	0.517032	0.505116	0.529523	486.87
1000	6.915335	0.502203	0.493394	0.511331	646.81
1250	5.935794	0.514972	0.516001	0.513947	808.17
1500	5.148414	0.505996	0.508985	0.503042	963.55
1750	4.546502	0.514112	0.510086	0.518202	1122.64
2000	4.162817	0.506957	0.516710	0.497566	1284.34
2250	3.451598	0.492173	0.482646	0.502084	1448.37
2500	3.392895	0.494730	0.486060	0.503715	1632.57
2750	3.143184	0.503151	0.483209	0.524811	1807.10
3000	3.015387	0.498969	0.492203	0.505924	1987.75
3250	2.936928	0.515195	0.497251	0.534482	2153.89
3500	2.921201	0.507645	0.506441	0.508855	2309.79
3750	2.938666	0.503792	0.504290	0.503294	2470.93
4000	2.881690	0.492269	0.463264	0.525148	2627.05
4250	2.418022	0.508952	0.512808	0.505155	2785.99
4500	2.465049	0.482130	0.468077	0.497052	2948.38
4750	2.461274	0.493821	0.483100	0.505029	3109.07
5000	2.479996	0.515926	0.509384	0.522639	3271.82
5250	2.508861	0.510080	0.496808	0.524080	3435.32
5500	2.486852	0.506503	0.503338	0.509707	3598.89
5750	2.487727	0.505918	0.492859	0.519689	3782.50
6000	2.498060	0.494935	0.491489	0.498430	3970.91
6250	2.142781	0.500905	0.481199	0.522295	4156.70
6500	2.163946	0.499052	0.488916	0.509618	4337.75
6750	2.123533	0.505260	0.510504	0.500124	4522.30
7000	2.259758	0.497539	0.489965	0.505349	4708.59
7250	2.221088	0.503393	0.516171	0.491233	4888.98
7500	2.222399	0.502457	0.486223	0.519814	5076.34
7750	2.291636	0.486673	0.467742	0.507202	5270.40
8000	2.276196	0.495740	0.480960	0.511456	5457.98
