[   0.0s] loading gold from runs/encoder_gold_v3.jsonl
[   0.1s] 959 gold records
[   0.1s] holdout mode: 98 held-out sentences, pool=865, train subset=788 (subset_seed=1)
[   0.1s] loading USVS from /home/user/NAOMI/consciousness_transformer/data/usvs
[  15.6s] USVS loaded: 117679 senses, d_axes=607
[  15.6s] pos_vocab=15 role_vocab=38
[  15.6s] policy params: 343,237 (~1.373 MB fp32)
[  15.6s] building features + derivations for 788 train records
[  16.4s] 788 teacher-forced derivations
[  20.9s] epoch 0 step 50 avg_loss=100.698
[  23.2s] epoch 0 step 100 avg_loss=89.804
[  25.8s] epoch 0 step 150 avg_loss=88.508
[  28.0s] epoch 0 step 200 avg_loss=83.564
[  31.0s] epoch 0 step 250 avg_loss=82.695
[  34.0s] epoch 0 step 300 avg_loss=81.745
[  36.6s] epoch 0 step 350 avg_loss=79.595
[  39.0s] epoch 0 step 400 avg_loss=77.020
[  41.6s] epoch 0 step 450 avg_loss=76.030
[  44.1s] epoch 0 step 500 avg_loss=74.931
[  46.5s] epoch 0 step 550 avg_loss=73.499
[  48.7s] epoch 0 step 600 avg_loss=71.954
[  51.0s] epoch 0 step 650 avg_loss=70.402
[  53.6s] epoch 0 step 700 avg_loss=69.122
[  56.4s] epoch 0 step 750 avg_loss=68.355
[  58.3s] === epoch 0 done: avg_loss=67.524 (n=788 derivations) ===
[  58.9s] epoch 1 step 800 avg_loss=37.167
[  61.5s] epoch 1 step 850 avg_loss=49.261
[  63.9s] epoch 1 step 900 avg_loss=48.987
[  66.5s] epoch 1 step 950 avg_loss=51.016
[  68.7s] epoch 1 step 1000 avg_loss=49.389
[  71.2s] epoch 1 step 1050 avg_loss=49.489
[  73.7s] epoch 1 step 1100 avg_loss=49.649
[  76.3s] epoch 1 step 1150 avg_loss=49.721
[  78.7s] epoch 1 step 1200 avg_loss=49.328
[  81.4s] epoch 1 step 1250 avg_loss=49.544
[  83.6s] epoch 1 step 1300 avg_loss=48.568
[  86.1s] epoch 1 step 1350 avg_loss=48.369
[  88.6s] epoch 1 step 1400 avg_loss=47.760
[  91.3s] epoch 1 step 1450 avg_loss=47.334
[  93.7s] epoch 1 step 1500 avg_loss=47.107
[  96.6s] epoch 1 step 1550 avg_loss=47.320
[  97.9s] === epoch 1 done: avg_loss=47.230 (n=788 derivations) ===
[  99.1s] epoch 2 step 1600 avg_loss=45.335
[ 101.5s] epoch 2 step 1650 avg_loss=42.018
[ 104.0s] epoch 2 step 1700 avg_loss=41.419
[ 106.5s] epoch 2 step 1750 avg_loss=40.272
[ 108.9s] epoch 2 step 1800 avg_loss=40.000
[ 111.5s] epoch 2 step 1850 avg_loss=40.725
[ 113.9s] epoch 2 step 1900 avg_loss=40.090
[ 116.5s] epoch 2 step 1950 avg_loss=39.554
[ 119.0s] epoch 2 step 2000 avg_loss=39.739
[ 121.5s] epoch 2 step 2050 avg_loss=39.784
[ 123.7s] epoch 2 step 2100 avg_loss=38.908
[ 126.4s] epoch 2 step 2150 avg_loss=39.090
[ 128.8s] epoch 2 step 2200 avg_loss=38.886
[ 131.2s] epoch 2 step 2250 avg_loss=38.619
[ 133.6s] epoch 2 step 2300 avg_loss=38.575
[ 135.8s] epoch 2 step 2350 avg_loss=38.291
[ 136.6s] === epoch 2 done: avg_loss=38.400 (n=788 derivations) ===
[ 138.4s] epoch 3 step 2400 avg_loss=36.081
[ 140.5s] epoch 3 step 2450 avg_loss=35.307
[ 142.7s] epoch 3 step 2500 avg_loss=34.005
[ 145.4s] epoch 3 step 2550 avg_loss=34.718
[ 147.9s] epoch 3 step 2600 avg_loss=34.637
[ 150.2s] epoch 3 step 2650 avg_loss=33.945
[ 153.2s] epoch 3 step 2700 avg_loss=33.790
[ 155.9s] epoch 3 step 2750 avg_loss=34.080
[ 158.5s] epoch 3 step 2800 avg_loss=33.971
[ 160.8s] epoch 3 step 2850 avg_loss=33.473
[ 163.6s] epoch 3 step 2900 avg_loss=33.828
[ 166.1s] epoch 3 step 2950 avg_loss=33.766
[ 168.7s] epoch 3 step 3000 avg_loss=33.588
[ 171.4s] epoch 3 step 3050 avg_loss=33.743
[ 173.8s] epoch 3 step 3100 avg_loss=33.524
[ 176.0s] epoch 3 step 3150 avg_loss=33.433
[ 176.0s] === epoch 3 done: avg_loss=33.384 (n=788 derivations) ===
[ 178.6s] epoch 4 step 3200 avg_loss=35.543
[ 181.1s] epoch 4 step 3250 avg_loss=33.185
[ 183.4s] epoch 4 step 3300 avg_loss=31.504
[ 186.0s] epoch 4 step 3350 avg_loss=32.537
[ 188.8s] epoch 4 step 3400 avg_loss=31.789
[ 191.5s] epoch 4 step 3450 avg_loss=31.590
[ 193.9s] epoch 4 step 3500 avg_loss=30.789
[ 196.6s] epoch 4 step 3550 avg_loss=30.982
[ 199.3s] epoch 4 step 3600 avg_loss=30.550
[ 202.0s] epoch 4 step 3650 avg_loss=30.444
[ 204.4s] epoch 4 step 3700 avg_loss=30.289
[ 207.1s] epoch 4 step 3750 avg_loss=30.421
[ 209.7s] epoch 4 step 3800 avg_loss=30.407
[ 212.2s] epoch 4 step 3850 avg_loss=30.109
[ 214.6s] epoch 4 step 3900 avg_loss=29.980
[ 216.8s] === epoch 4 done: avg_loss=30.164 (n=788 derivations) ===
[ 217.2s] epoch 5 step 3950 avg_loss=29.432
[ 220.1s] epoch 5 step 4000 avg_loss=33.948
[ 222.6s] epoch 5 step 4050 avg_loss=32.183
[ 225.0s] epoch 5 step 4100 avg_loss=29.312
[ 227.3s] epoch 5 step 4150 avg_loss=28.899
[ 229.7s] epoch 5 step 4200 avg_loss=28.456
[ 232.5s] epoch 5 step 4250 avg_loss=29.347
[ 235.1s] epoch 5 step 4300 avg_loss=29.056
[ 237.9s] epoch 5 step 4350 avg_loss=29.033
[ 240.8s] epoch 5 step 4400 avg_loss=28.833
[ 243.8s] epoch 5 step 4450 avg_loss=29.048
[ 246.0s] epoch 5 step 4500 avg_loss=28.532
[ 248.7s] epoch 5 step 4550 avg_loss=28.121
[ 251.3s] epoch 5 step 4600 avg_loss=28.153
[ 254.0s] epoch 5 step 4650 avg_loss=28.157
[ 256.5s] epoch 5 step 4700 avg_loss=28.101
[ 258.0s] === epoch 5 done: avg_loss=27.879 (n=788 derivations) ===
[ 259.3s] epoch 6 step 4750 avg_loss=30.748
[ 261.9s] epoch 6 step 4800 avg_loss=27.123
[ 264.5s] epoch 6 step 4850 avg_loss=26.562
[ 266.8s] epoch 6 step 4900 avg_loss=25.557
[ 269.4s] epoch 6 step 4950 avg_loss=24.897
[ 272.0s] epoch 6 step 5000 avg_loss=25.655
[ 274.6s] epoch 6 step 5050 avg_loss=25.747
[ 277.3s] epoch 6 step 5100 avg_loss=24.994
[ 280.0s] epoch 6 step 5150 avg_loss=25.140
[ 282.5s] epoch 6 step 5200 avg_loss=24.939
[ 285.0s] epoch 6 step 5250 avg_loss=25.078
