[   0.0s] loading gold from runs/encoder_gold_v4b.jsonl
[   0.1s] 987 gold records
[   0.1s] holdout mode: 98 held-out sentences, pool=791, train subset=788 (subset_seed=0)
[   0.1s] loading USVS from /home/user/NAOMI/consciousness_transformer/data/usvs
[  13.8s] USVS loaded: 117679 senses, d_axes=607
[  13.8s] pos_vocab=15 role_vocab=39
[  13.8s] policy params: 343,366 (~1.373 MB fp32)
[  13.8s] building features + derivations for 788 train records
[  14.6s] 788 teacher-forced derivations
[  14.7s] dev-holdout eval targets from runs/encoder_gold_v2.jsonl: matched=98 missing=0
[  18.1s] epoch 0 step 50 avg_loss=90.919
[  19.9s] epoch 0 step 100 avg_loss=94.348
[  21.9s] epoch 0 step 150 avg_loss=92.566
[  23.5s] epoch 0 step 200 avg_loss=89.304
[  25.1s] epoch 0 step 250 avg_loss=84.541
[  26.7s] epoch 0 step 300 avg_loss=81.620
[  28.6s] epoch 0 step 350 avg_loss=80.213
[  30.4s] epoch 0 step 400 avg_loss=77.723
[  32.4s] epoch 0 step 450 avg_loss=76.991
[  34.3s] epoch 0 step 500 avg_loss=75.853
[  36.0s] epoch 0 step 550 avg_loss=74.272
[  37.8s] epoch 0 step 600 avg_loss=72.775
[  39.5s] epoch 0 step 650 avg_loss=70.856
[  41.5s] epoch 0 step 700 avg_loss=69.541
[  43.3s] epoch 0 step 750 avg_loss=68.355
[  44.7s] === epoch 0 done: avg_loss=67.552 (n=788 derivations) ===
[  45.1s] epoch 1 step 800 avg_loss=49.476
[  46.9s] epoch 1 step 850 avg_loss=53.417
[  48.4s] epoch 1 step 900 avg_loss=48.249
[  50.0s] epoch 1 step 950 avg_loss=46.128
[  51.8s] epoch 1 step 1000 avg_loss=46.816
[  53.6s] epoch 1 step 1050 avg_loss=47.338
[  55.4s] epoch 1 step 1100 avg_loss=47.467
[  57.2s] epoch 1 step 1150 avg_loss=46.360
[  59.2s] epoch 1 step 1200 avg_loss=47.055
[  61.1s] epoch 1 step 1250 avg_loss=46.823
[  63.0s] epoch 1 step 1300 avg_loss=46.818
[  64.9s] epoch 1 step 1350 avg_loss=47.309
[  66.7s] epoch 1 step 1400 avg_loss=47.085
[  68.8s] epoch 1 step 1450 avg_loss=46.846
[  70.7s] epoch 1 step 1500 avg_loss=46.496
[  72.6s] epoch 1 step 1550 avg_loss=45.949
[  73.6s] === epoch 1 done: avg_loss=45.655 (n=788 derivations) ===
[  74.6s] epoch 2 step 1600 avg_loss=45.454
[  76.5s] epoch 2 step 1650 avg_loss=39.908
[  78.3s] epoch 2 step 1700 avg_loss=36.189
[  80.2s] epoch 2 step 1750 avg_loss=36.680
[  82.4s] epoch 2 step 1800 avg_loss=38.842
[  84.2s] epoch 2 step 1850 avg_loss=37.145
[  86.3s] epoch 2 step 1900 avg_loss=37.900
[  88.3s] epoch 2 step 1950 avg_loss=38.178
[  90.3s] epoch 2 step 2000 avg_loss=38.178
[  92.5s] epoch 2 step 2050 avg_loss=38.690
[  94.1s] epoch 2 step 2100 avg_loss=37.985
[  96.1s] epoch 2 step 2150 avg_loss=38.445
[  97.9s] epoch 2 step 2200 avg_loss=38.355
[  99.9s] epoch 2 step 2250 avg_loss=38.344
[ 102.0s] epoch 2 step 2300 avg_loss=38.175
[ 104.3s] epoch 2 step 2350 avg_loss=38.151
[ 105.0s] === epoch 2 done: avg_loss=38.100 (n=788 derivations) ===
[ 106.5s] epoch 3 step 2400 avg_loss=40.072
[ 108.8s] epoch 3 step 2450 avg_loss=41.400
[ 110.6s] epoch 3 step 2500 avg_loss=39.596
[ 112.5s] epoch 3 step 2550 avg_loss=37.601
[ 114.2s] epoch 3 step 2600 avg_loss=36.633
[ 116.2s] epoch 3 step 2650 avg_loss=36.254
[ 117.7s] epoch 3 step 2700 avg_loss=35.311
[ 119.7s] epoch 3 step 2750 avg_loss=35.678
[ 121.6s] epoch 3 step 2800 avg_loss=35.364
[ 123.1s] epoch 3 step 2850 avg_loss=34.525
[ 124.9s] epoch 3 step 2900 avg_loss=34.006
[ 126.8s] epoch 3 step 2950 avg_loss=34.091
[ 128.5s] epoch 3 step 3000 avg_loss=33.872
[ 130.3s] epoch 3 step 3050 avg_loss=33.962
[ 132.2s] epoch 3 step 3100 avg_loss=33.667
[ 134.1s] epoch 3 step 3150 avg_loss=33.862
[ 134.2s] === epoch 3 done: avg_loss=33.831 (n=788 derivations) ===
[ 136.2s] epoch 4 step 3200 avg_loss=34.605
[ 138.2s] epoch 4 step 3250 avg_loss=33.989
[ 140.3s] epoch 4 step 3300 avg_loss=34.964
[ 142.3s] epoch 4 step 3350 avg_loss=35.000
[ 144.4s] epoch 4 step 3400 avg_loss=35.459
[ 146.2s] epoch 4 step 3450 avg_loss=34.698
[ 148.0s] epoch 4 step 3500 avg_loss=33.201
[ 149.9s] epoch 4 step 3550 avg_loss=32.402
[ 151.8s] epoch 4 step 3600 avg_loss=32.314
[ 153.8s] epoch 4 step 3650 avg_loss=31.844
[ 155.4s] epoch 4 step 3700 avg_loss=31.018
[ 157.2s] epoch 4 step 3750 avg_loss=31.270
[ 159.1s] epoch 4 step 3800 avg_loss=31.069
[ 160.9s] epoch 4 step 3850 avg_loss=30.790
[ 162.9s] epoch 4 step 3900 avg_loss=30.720
[ 164.4s] === epoch 4 done: avg_loss=30.916 (n=788 derivations) ===
[ 164.8s] epoch 5 step 3950 avg_loss=36.373
[ 166.7s] epoch 5 step 4000 avg_loss=27.526
[ 168.5s] epoch 5 step 4050 avg_loss=27.365
[ 170.6s] epoch 5 step 4100 avg_loss=28.961
[ 173.0s] epoch 5 step 4150 avg_loss=31.140
[ 174.9s] epoch 5 step 4200 avg_loss=30.725
[ 176.9s] epoch 5 step 4250 avg_loss=30.326
[ 179.1s] epoch 5 step 4300 avg_loss=30.440
[ 181.3s] epoch 5 step 4350 avg_loss=30.428
[ 183.0s] epoch 5 step 4400 avg_loss=29.893
[ 184.9s] epoch 5 step 4450 avg_loss=30.026
[ 186.5s] epoch 5 step 4500 avg_loss=29.503
[ 188.2s] epoch 5 step 4550 avg_loss=29.116
[ 189.8s] epoch 5 step 4600 avg_loss=28.927
[ 191.5s] epoch 5 step 4650 avg_loss=28.652
[ 193.8s] epoch 5 step 4700 avg_loss=29.023
[ 194.7s] === epoch 5 done: avg_loss=28.694 (n=788 derivations) ===
[ 195.5s] epoch 6 step 4750 avg_loss=29.890
[ 197.5s] epoch 6 step 4800 avg_loss=28.620
[ 199.3s] epoch 6 step 4850 avg_loss=26.229
[ 201.4s] epoch 6 step 4900 avg_loss=27.188
[ 203.2s] epoch 6 step 4950 avg_loss=27.857
[ 205.2s] epoch 6 step 5000 avg_loss=27.803
[ 207.4s] epoch 6 step 5050 avg_loss=27.653
[ 209.4s] epoch 6 step 5100 avg_loss=27.855
[ 211.3s] epoch 6 step 5150 avg_loss=27.753
[ 213.2s] epoch 6 step 5200 avg_loss=27.984
[ 215.0s] epoch 6 step 5250 avg_loss=27.771
[ 217.0s] epoch 6 step 5300 avg_loss=27.684
[ 219.0s] epoch 6 step 5350 avg_loss=27.336
[ 220.9s] epoch 6 step 5400 avg_loss=27.182
[ 222.7s] epoch 6 step 5450 avg_loss=27.229
[ 224.4s] epoch 6 step 5500 avg_loss=27.113
[ 224.9s] === epoch 6 done: avg_loss=26.977 (n=788 derivations) ===
[ 226.3s] epoch 7 step 5550 avg_loss=29.251
[ 228.5s] epoch 7 step 5600 avg_loss=30.661
[ 230.1s] epoch 7 step 5650 avg_loss=27.362
[ 231.9s] epoch 7 step 5700 avg_loss=26.228
[ 233.9s] epoch 7 step 5750 avg_loss=26.708
[ 236.0s] epoch 7 step 5800 avg_loss=26.511
[ 237.7s] epoch 7 step 5850 avg_loss=26.623
[ 239.5s] epoch 7 step 5900 avg_loss=26.224
[ 241.4s] epoch 7 step 5950 avg_loss=26.056
[ 243.2s] epoch 7 step 6000 avg_loss=26.248
[ 244.8s] epoch 7 step 6050 avg_loss=25.779
[ 246.6s] epoch 7 step 6100 avg_loss=25.881
[ 248.6s] epoch 7 step 6150 avg_loss=26.068
[ 250.3s] epoch 7 step 6200 avg_loss=25.885
[ 251.9s] epoch 7 step 6250 avg_loss=25.683
[ 253.5s] epoch 7 step 6300 avg_loss=25.481
[ 253.6s] === epoch 7 done: avg_loss=25.535 (n=788 derivations) ===
[ 255.2s] epoch 8 step 6350 avg_loss=26.727
[ 256.9s] epoch 8 step 6400 avg_loss=23.993
[ 258.8s] epoch 8 step 6450 avg_loss=24.596
[ 260.7s] epoch 8 step 6500 avg_loss=24.394
[ 262.6s] epoch 8 step 6550 avg_loss=23.902
[ 264.6s] epoch 8 step 6600 avg_loss=24.716
[ 266.5s] epoch 8 step 6650 avg_loss=24.862
[ 268.1s] epoch 8 step 6700 avg_loss=24.301
[ 269.7s] epoch 8 step 6750 avg_loss=24.196
[ 271.7s] epoch 8 step 6800 avg_loss=24.937
[ 273.4s] epoch 8 step 6850 avg_loss=24.414
[ 275.2s] epoch 8 step 6900 avg_loss=24.744
[ 276.9s] epoch 8 step 6950 avg_loss=24.458
[ 278.7s] epoch 8 step 7000 avg_loss=24.296
[ 280.4s] epoch 8 step 7050 avg_loss=24.151
[ 282.0s] === epoch 8 done: avg_loss=24.416 (n=788 derivations) ===
[ 282.3s] epoch 9 step 7100 avg_loss=19.368
[ 284.1s] epoch 9 step 7150 avg_loss=22.763
[ 285.8s] epoch 9 step 7200 avg_loss=22.143
[ 287.6s] epoch 9 step 7250 avg_loss=20.985
[ 289.3s] epoch 9 step 7300 avg_loss=21.292
[ 291.2s] epoch 9 step 7350 avg_loss=22.772
[ 292.9s] epoch 9 step 7400 avg_loss=22.813
[ 294.9s] epoch 9 step 7450 avg_loss=23.407
[ 296.7s] epoch 9 step 7500 avg_loss=23.811
[ 298.5s] epoch 9 step 7550 avg_loss=23.756
[ 300.4s] epoch 9 step 7600 avg_loss=23.691
[ 302.3s] epoch 9 step 7650 avg_loss=23.546
[ 304.1s] epoch 9 step 7700 avg_loss=23.564
[ 305.8s] epoch 9 step 7750 avg_loss=22.997
[ 307.8s] epoch 9 step 7800 avg_loss=23.159
[ 309.8s] epoch 9 step 7850 avg_loss=23.141
[ 315.3s] eval step=250 train_avg_loss=23.398 dev_rank1_f1=0.2971 dev_edge_p=0.2650 dev_edge_r=0.3381
[ 315.3s] === epoch 9 done: avg_loss=23.398 (n=788 derivations) ===
[ 316.0s] epoch 10 step 7900 avg_loss=19.284
[ 318.0s] epoch 10 step 7950 avg_loss=21.894
[ 319.8s] epoch 10 step 8000 avg_loss=21.084
[ 322.1s] epoch 10 step 8050 avg_loss=23.318
[ 324.1s] epoch 10 step 8100 avg_loss=23.240
[ 326.2s] epoch 10 step 8150 avg_loss=23.070
[ 328.2s] epoch 10 step 8200 avg_loss=22.818
[ 330.0s] epoch 10 step 8250 avg_loss=22.647
[ 332.1s] epoch 10 step 8300 avg_loss=22.615
[ 334.1s] epoch 10 step 8350 avg_loss=23.086
[ 335.8s] epoch 10 step 8400 avg_loss=22.799
[ 337.6s] epoch 10 step 8450 avg_loss=22.485
[ 339.5s] epoch 10 step 8500 avg_loss=22.432
[ 341.2s] epoch 10 step 8550 avg_loss=22.199
[ 343.3s] epoch 10 step 8600 avg_loss=22.458
[ 345.3s] epoch 10 step 8650 avg_loss=22.434
[ 346.0s] === epoch 10 done: avg_loss=22.440 (n=788 derivations) ===
[ 347.4s] epoch 11 step 8700 avg_loss=26.477
[ 349.2s] epoch 11 step 8750 avg_loss=22.580
[ 351.0s] epoch 11 step 8800 avg_loss=21.192
[ 352.8s] epoch 11 step 8850 avg_loss=21.847
[ 354.6s] epoch 11 step 8900 avg_loss=21.058
[ 356.5s] epoch 11 step 8950 avg_loss=21.478
