[   0.0s] loading gold from runs/encoder_gold_v4b.jsonl
[   0.3s] 987 gold records
[   0.3s] holdout mode: 98 held-out sentences, pool=791, train subset=788 (subset_seed=0)
[   0.3s] loading USVS from /home/user/NAOMI/consciousness_transformer/data/usvs
[  16.5s] USVS loaded: 117679 senses, d_axes=607
[  16.5s] pos_vocab=15 role_vocab=39
[  16.5s] policy params: 343,366 (~1.373 MB fp32)
[  16.5s] building features + derivations for 788 train records
[  17.4s] 788 teacher-forced derivations
[  17.9s] dev-holdout eval targets from runs/encoder_gold_v2.jsonl: matched=98 missing=0
[  22.4s] epoch 0 step 50 avg_loss=90.919
[  23.9s] epoch 0 step 100 avg_loss=94.348
[  25.4s] epoch 0 step 150 avg_loss=92.566
[  26.7s] epoch 0 step 200 avg_loss=89.304
[  27.8s] epoch 0 step 250 avg_loss=84.541
[  29.0s] epoch 0 step 300 avg_loss=81.620
[  30.4s] epoch 0 step 350 avg_loss=80.213
[  31.7s] epoch 0 step 400 avg_loss=77.723
[  33.2s] epoch 0 step 450 avg_loss=76.991
[  34.7s] epoch 0 step 500 avg_loss=75.853
[  36.2s] epoch 0 step 550 avg_loss=74.272
[  37.4s] epoch 0 step 600 avg_loss=72.775
[  38.6s] epoch 0 step 650 avg_loss=70.856
[  40.2s] epoch 0 step 700 avg_loss=69.541
[  41.5s] epoch 0 step 750 avg_loss=68.355
[  42.7s] === epoch 0 done: avg_loss=67.552 (n=788 derivations) ===
[  43.0s] epoch 1 step 800 avg_loss=49.476
[  44.4s] epoch 1 step 850 avg_loss=53.417
[  45.6s] epoch 1 step 900 avg_loss=48.249
[  46.8s] epoch 1 step 950 avg_loss=46.128
[  48.3s] epoch 1 step 1000 avg_loss=46.816
[  49.7s] epoch 1 step 1050 avg_loss=47.338
[  50.9s] epoch 1 step 1100 avg_loss=47.467
[  52.2s] epoch 1 step 1150 avg_loss=46.360
[  53.7s] epoch 1 step 1200 avg_loss=47.055
[  55.0s] epoch 1 step 1250 avg_loss=46.823
[  56.3s] epoch 1 step 1300 avg_loss=46.818
[  57.7s] epoch 1 step 1350 avg_loss=47.309
[  59.0s] epoch 1 step 1400 avg_loss=47.085
[  60.4s] epoch 1 step 1450 avg_loss=46.846
[  61.6s] epoch 1 step 1500 avg_loss=46.496
[  62.8s] epoch 1 step 1550 avg_loss=45.949
[  63.5s] === epoch 1 done: avg_loss=45.655 (n=788 derivations) ===
[  64.2s] epoch 2 step 1600 avg_loss=45.454
[  65.7s] epoch 2 step 1650 avg_loss=39.908
[  67.0s] epoch 2 step 1700 avg_loss=36.189
[  68.2s] epoch 2 step 1750 avg_loss=36.680
[  69.6s] epoch 2 step 1800 avg_loss=38.842
[  70.7s] epoch 2 step 1850 avg_loss=37.145
[  72.0s] epoch 2 step 1900 avg_loss=37.900
[  73.2s] epoch 2 step 1950 avg_loss=38.178
[  74.5s] epoch 2 step 2000 avg_loss=38.178
[  75.9s] epoch 2 step 2050 avg_loss=38.690
[  76.9s] epoch 2 step 2100 avg_loss=37.985
[  78.3s] epoch 2 step 2150 avg_loss=38.445
[  79.6s] epoch 2 step 2200 avg_loss=38.355
[  81.0s] epoch 2 step 2250 avg_loss=38.344
[  82.3s] epoch 2 step 2300 avg_loss=38.175
[  83.7s] epoch 2 step 2350 avg_loss=38.151
[  84.1s] === epoch 2 done: avg_loss=38.100 (n=788 derivations) ===
[  85.0s] epoch 3 step 2400 avg_loss=40.072
[  86.5s] epoch 3 step 2450 avg_loss=41.400
[  87.8s] epoch 3 step 2500 avg_loss=39.596
[  89.0s] epoch 3 step 2550 avg_loss=37.601
[  90.2s] epoch 3 step 2600 avg_loss=36.633
[  91.5s] epoch 3 step 2650 avg_loss=36.254
[  92.7s] epoch 3 step 2700 avg_loss=35.311
[  94.2s] epoch 3 step 2750 avg_loss=35.678
[  95.9s] epoch 3 step 2800 avg_loss=35.364
[  97.1s] epoch 3 step 2850 avg_loss=34.525
[  98.7s] epoch 3 step 2900 avg_loss=34.006
[ 100.3s] epoch 3 step 2950 avg_loss=34.091
[ 101.7s] epoch 3 step 3000 avg_loss=33.872
[ 103.1s] epoch 3 step 3050 avg_loss=33.962
[ 104.5s] epoch 3 step 3100 avg_loss=33.667
[ 105.9s] epoch 3 step 3150 avg_loss=33.862
[ 105.9s] === epoch 3 done: avg_loss=33.831 (n=788 derivations) ===
[ 107.3s] epoch 4 step 3200 avg_loss=34.605
[ 108.6s] epoch 4 step 3250 avg_loss=33.989
[ 109.9s] epoch 4 step 3300 avg_loss=34.964
[ 111.3s] epoch 4 step 3350 avg_loss=35.000
[ 112.6s] epoch 4 step 3400 avg_loss=35.459
[ 113.9s] epoch 4 step 3450 avg_loss=34.698
[ 115.3s] epoch 4 step 3500 avg_loss=33.201
[ 116.7s] epoch 4 step 3550 avg_loss=32.402
[ 118.1s] epoch 4 step 3600 avg_loss=32.314
[ 119.6s] epoch 4 step 3650 avg_loss=31.844
[ 120.7s] epoch 4 step 3700 avg_loss=31.018
[ 122.0s] epoch 4 step 3750 avg_loss=31.270
[ 123.4s] epoch 4 step 3800 avg_loss=31.069
[ 124.8s] epoch 4 step 3850 avg_loss=30.790
[ 126.2s] epoch 4 step 3900 avg_loss=30.720
[ 127.4s] === epoch 4 done: avg_loss=30.916 (n=788 derivations) ===
[ 127.6s] epoch 5 step 3950 avg_loss=36.373
[ 129.1s] epoch 5 step 4000 avg_loss=27.526
[ 130.5s] epoch 5 step 4050 avg_loss=27.365
[ 132.1s] epoch 5 step 4100 avg_loss=28.961
[ 133.9s] epoch 5 step 4150 avg_loss=31.140
[ 135.4s] epoch 5 step 4200 avg_loss=30.725
[ 136.9s] epoch 5 step 4250 avg_loss=30.326
[ 138.4s] epoch 5 step 4300 avg_loss=30.440
[ 140.0s] epoch 5 step 4350 avg_loss=30.428
[ 141.4s] epoch 5 step 4400 avg_loss=29.893
[ 142.9s] epoch 5 step 4450 avg_loss=30.026
[ 144.3s] epoch 5 step 4500 avg_loss=29.503
[ 145.6s] epoch 5 step 4550 avg_loss=29.116
[ 147.1s] epoch 5 step 4600 avg_loss=28.927
[ 148.3s] epoch 5 step 4650 avg_loss=28.652
[ 149.9s] epoch 5 step 4700 avg_loss=29.023
[ 150.6s] === epoch 5 done: avg_loss=28.694 (n=788 derivations) ===
[ 151.2s] epoch 6 step 4750 avg_loss=29.890
[ 152.7s] epoch 6 step 4800 avg_loss=28.620
[ 153.9s] epoch 6 step 4850 avg_loss=26.229
[ 155.3s] epoch 6 step 4900 avg_loss=27.188
[ 156.5s] epoch 6 step 4950 avg_loss=27.857
[ 157.8s] epoch 6 step 5000 avg_loss=27.803
[ 159.1s] epoch 6 step 5050 avg_loss=27.653
[ 160.3s] epoch 6 step 5100 avg_loss=27.855
[ 161.4s] epoch 6 step 5150 avg_loss=27.753
[ 162.6s] epoch 6 step 5200 avg_loss=27.984
[ 163.8s] epoch 6 step 5250 avg_loss=27.771
[ 165.0s] epoch 6 step 5300 avg_loss=27.684
[ 166.4s] epoch 6 step 5350 avg_loss=27.336
[ 167.8s] epoch 6 step 5400 avg_loss=27.182
[ 169.0s] epoch 6 step 5450 avg_loss=27.229
[ 170.4s] epoch 6 step 5500 avg_loss=27.113
[ 170.8s] === epoch 6 done: avg_loss=26.977 (n=788 derivations) ===
[ 171.7s] epoch 7 step 5550 avg_loss=29.251
[ 173.3s] epoch 7 step 5600 avg_loss=30.661
[ 174.3s] epoch 7 step 5650 avg_loss=27.362
[ 175.5s] epoch 7 step 5700 avg_loss=26.228
[ 176.7s] epoch 7 step 5750 avg_loss=26.708
[ 178.2s] epoch 7 step 5800 avg_loss=26.511
[ 179.6s] epoch 7 step 5850 avg_loss=26.623
[ 181.0s] epoch 7 step 5900 avg_loss=26.224
[ 182.4s] epoch 7 step 5950 avg_loss=26.056
[ 183.8s] epoch 7 step 6000 avg_loss=26.248
[ 185.0s] epoch 7 step 6050 avg_loss=25.779
[ 186.3s] epoch 7 step 6100 avg_loss=25.881
[ 187.6s] epoch 7 step 6150 avg_loss=26.068
[ 188.9s] epoch 7 step 6200 avg_loss=25.885
[ 190.3s] epoch 7 step 6250 avg_loss=25.683
[ 191.7s] epoch 7 step 6300 avg_loss=25.481
[ 191.8s] === epoch 7 done: avg_loss=25.535 (n=788 derivations) ===
[ 193.2s] epoch 8 step 6350 avg_loss=26.727
[ 194.7s] epoch 8 step 6400 avg_loss=23.993
[ 196.1s] epoch 8 step 6450 avg_loss=24.596
[ 197.3s] epoch 8 step 6500 avg_loss=24.394
[ 198.6s] epoch 8 step 6550 avg_loss=23.902
[ 200.0s] epoch 8 step 6600 avg_loss=24.716
[ 201.4s] epoch 8 step 6650 avg_loss=24.862
[ 202.8s] epoch 8 step 6700 avg_loss=24.301
[ 203.9s] epoch 8 step 6750 avg_loss=24.196
[ 205.5s] epoch 8 step 6800 avg_loss=24.937
[ 206.7s] epoch 8 step 6850 avg_loss=24.414
[ 208.0s] epoch 8 step 6900 avg_loss=24.744
[ 209.3s] epoch 8 step 6950 avg_loss=24.458
[ 210.6s] epoch 8 step 7000 avg_loss=24.296
[ 212.0s] epoch 8 step 7050 avg_loss=24.151
[ 213.2s] === epoch 8 done: avg_loss=24.416 (n=788 derivations) ===
[ 213.3s] epoch 9 step 7100 avg_loss=19.368
