step	train_avg_loss	dev_rank1_f1	dev_edge_p	dev_edge_r	wall_s
250	23.397820	0.297129	0.265012	0.338103	213.52
500	15.240051	0.316584	0.270646	0.381306	423.96
750	9.108317	0.332133	0.284104	0.399705	632.05
1000	5.319984	0.320317	0.267896	0.398243	838.93
1250	3.109686	0.335632	0.286356	0.405393	1048.36
1500	1.946129	0.333985	0.286974	0.399417	1253.89
1750	1.087051	0.327389	0.277507	0.399134	1458.67
2000	0.754410	0.324581	0.274715	0.396565	1670.07
2250	0.456931	0.308168	0.262996	0.372075	1884.03
2500	0.259665	0.316169	0.266868	0.387814	2094.64
2750	0.124816	0.313161	0.261673	0.389875	2305.40
3000	0.116422	0.316259	0.266871	0.388079	2517.82
3250	0.524240	0.310931	0.261125	0.384214	2726.18
3500	0.116328	0.313584	0.264025	0.386047	2935.11
3750	0.035727	0.330232	0.281208	0.399957	3144.19
4000	0.026665	0.327522	0.275684	0.403369	3358.99
4250	0.021155	0.320213	0.271564	0.390097	3566.19
4500	0.017279	0.319479	0.271464	0.388129	3773.33
4750	0.014316	0.321066	0.274737	0.386189	3984.67
5000	0.012014	0.323743	0.277749	0.387993	4198.30
5250	0.010154	0.324662	0.277783	0.390575	4408.23
5500	0.008631	0.323744	0.275686	0.392094	4614.58
5750	0.007371	0.323858	0.275810	0.392178	4822.10
6000	0.006318	0.323032	0.274638	0.392128	5027.33
