step	train_avg_loss	dev_rank1_f1	dev_edge_p	dev_edge_r	wall_s
250	46.855952	0.274579	0.250316	0.304052	336.46
500	40.833665	0.286926	0.246531	0.343154	673.39
750	36.188234	0.294606	0.256345	0.346293	1013.55
1000	33.890134	0.312648	0.275025	0.362196	1346.50
1250	32.643210	0.329021	0.296183	0.370048	1684.39
1500	31.811136	0.314216	0.270446	0.374890	2027.84
1750	31.280782	0.317896	0.274598	0.377405	2368.03
2000	30.707637	0.323538	0.272273	0.398585	2706.19
2250	30.417003	0.311345	0.267911	0.371586	3037.38
2500	30.317024	0.314357	0.256686	0.405451	3374.33
2750	30.072231	0.316439	0.263184	0.396713	3719.18
3000	29.895374	0.326942	0.270041	0.414224	4054.45
3250	29.786855	0.326588	0.270047	0.413075	4395.56
3500	30.126587	0.315435	0.262546	0.395008	4730.80
3750	29.956188	0.326023	0.271824	0.407219	5064.74
4000	29.658231	0.329564	0.275948	0.409040	5407.02
4250	29.643493	0.328218	0.273284	0.410791	5751.01
4500	30.026230	0.310592	0.255571	0.395803	6077.30
4750	29.709236	0.314019	0.257765	0.401679	6423.73
5000	29.555196	0.325095	0.271085	0.405981	6769.55
5250	29.519129	0.321447	0.267749	0.402088	7115.17
5500	29.498008	0.323333	0.268771	0.405692	7455.77
5750	29.489214	0.322454	0.268382	0.403811	7794.16
6000	30.318566	0.312453	0.263178	0.384428	8125.65
