step	train_avg_loss	dev_rank1_f1	dev_edge_p	dev_edge_r	wall_s
250	12.725885	0.343607	0.342082	0.345146	91.29
500	9.108098	0.406200	0.434114	0.381659	195.95
750	7.376033	0.428116	0.455703	0.403678	292.59
1000	6.275485	0.418286	0.447452	0.392690	389.82
1250	4.144786	0.404935	0.420846	0.390184	486.94
1500	3.019139	0.403748	0.407319	0.400239	581.48
1750	2.358903	0.409336	0.425109	0.394691	677.84
2000	2.066182	0.392482	0.416703	0.370922	773.88
2250	1.384196	0.422182	0.439383	0.406278	872.08
2500	0.858008	0.436929	0.435141	0.438731	959.11
2750	0.782536	0.411670	0.419824	0.403827	1051.28
3000	0.651397	0.394752	0.427337	0.366785	1148.85
3250	0.396452	0.405005	0.402479	0.407562	1244.69
3500	0.571466	0.409696	0.412337	0.407088	1346.83
3750	0.446567	0.409861	0.425638	0.395212	1448.41
4000	0.329005	0.398513	0.421184	0.378158	1548.09
4250	0.289265	0.412015	0.437862	0.389050	1641.14
4500	0.267245	0.400669	0.419876	0.383143	1737.18
4750	0.292105	0.393464	0.400938	0.386263	1830.76
5000	0.292541	0.434404	0.441207	0.427808	1930.29
5250	0.163427	0.402268	0.415249	0.390074	2032.54
5500	0.159437	0.396250	0.407541	0.385569	2133.91
5750	0.127386	0.397182	0.418630	0.377824	2236.37
6000	0.081276	0.418840	0.418683	0.418998	2331.07
6250	0.287215	0.397554	0.400387	0.394760	2431.33
6500	0.181875	0.399676	0.412889	0.387283	2531.55
6750	0.106053	0.397997	0.415568	0.381852	2629.62
7000	0.137868	0.421629	0.447849	0.398310	2718.02
7250	0.103449	0.399733	0.412139	0.388052	2813.14
7500	0.151092	0.389970	0.406571	0.374672	2904.34
7750	0.251346	0.396388	0.415333	0.379096	3005.99
8000	0.157733	0.421255	0.443470	0.401159	3102.26
