step	train_avg_loss	dev_rank1_f1	dev_edge_p	dev_edge_r	wall_s
250	21.038553	0.390873	0.404563	0.378080	141.86
500	11.870310	0.420563	0.431383	0.410272	280.42
750	8.116471	0.434383	0.443659	0.425487	419.09
1000	5.001279	0.443343	0.437616	0.449222	561.59
1250	3.582229	0.428390	0.430636	0.426167	711.30
1500	1.980297	0.443764	0.456478	0.431740	837.38
1750	1.486124	0.462612	0.476952	0.449109	984.11
2000	0.986785	0.439044	0.452271	0.426568	1118.86
2250	0.664684	0.448375	0.453710	0.443163	1263.12
2500	0.401596	0.437129	0.438399	0.435866	1413.73
2750	0.443762	0.460048	0.484595	0.437867	1561.57
3000	0.221544	0.458105	0.474277	0.443000	1699.77
3250	0.185313	0.428470	0.421872	0.435277	1834.24
3500	0.201188	0.439106	0.456317	0.423146	1974.51
3750	0.343764	0.422546	0.434326	0.411388	2109.45
4000	0.025403	0.422361	0.414191	0.430859	2243.07
4250	0.298747	0.429826	0.427518	0.432159	2377.81
4500	0.034826	0.427199	0.423879	0.430571	2516.08
4750	0.020417	0.433853	0.430182	0.437587	2668.97
5000	0.020018	0.406120	0.397799	0.414796	2806.09
5250	0.017229	0.418668	0.413776	0.423676	2951.95
5500	0.013952	0.420446	0.415670	0.425333	3090.65
5750	0.010601	0.416820	0.411920	0.421837	3235.26
6000	0.010065	0.419651	0.416036	0.423329	3371.46
6250	0.008000	0.418544	0.415154	0.421989	3503.18
6500	0.006362	0.416213	0.412399	0.420099	3644.64
6750	0.006205	0.421300	0.418108	0.424541	3778.17
7000	0.004875	0.411987	0.409880	0.414115	3918.36
7250	0.004273	0.417912	0.416486	0.419348	4061.75
7500	0.003915	0.430919	0.430821	0.431017	4201.94
7750	0.003462	0.429881	0.430590	0.429175	4344.61
8000	0.003444	0.430423	0.430288	0.430558	4488.14
