[   0.0s] loading gold from runs/encoder_gold_v4b_16k.jsonl
[   3.7s] 10225 gold records
[   3.7s] holdout mode: 98 held-out sentences, pool=10029, train subset=8000 (subset_seed=0)
[   3.7s] loading USVS from /home/user/NAOMI/consciousness_transformer/data/usvs
[  20.9s] USVS loaded: 117679 senses, d_axes=607
[  20.9s] pos_vocab=15 role_vocab=44
[  21.0s] policy params: 344,011 (~1.376 MB fp32)
[  21.0s] building features + derivations for 8000 train records
[  32.3s] 8000 teacher-forced derivations
[  32.6s] dev-holdout eval targets from runs/encoder_gold_v4b.jsonl: matched=98 missing=0
[  35.8s] epoch 0 step 50 avg_loss=96.698
[  37.4s] epoch 0 step 100 avg_loss=89.978
[  39.0s] epoch 0 step 150 avg_loss=86.250
[  40.7s] epoch 0 step 200 avg_loss=85.742
[  42.7s] epoch 0 step 250 avg_loss=86.808
[  44.4s] epoch 0 step 300 avg_loss=83.892
[  46.4s] epoch 0 step 350 avg_loss=83.104
[  47.9s] epoch 0 step 400 avg_loss=79.943
[  49.4s] epoch 0 step 450 avg_loss=77.440
[  51.0s] epoch 0 step 500 avg_loss=74.820
[  52.7s] epoch 0 step 550 avg_loss=73.595
[  54.3s] epoch 0 step 600 avg_loss=71.874
[  56.2s] epoch 0 step 650 avg_loss=70.935
[  57.9s] epoch 0 step 700 avg_loss=69.701
[  59.6s] epoch 0 step 750 avg_loss=68.212
[  61.3s] epoch 0 step 800 avg_loss=66.969
[  63.3s] epoch 0 step 850 avg_loss=66.158
[  65.0s] epoch 0 step 900 avg_loss=65.166
[  66.8s] epoch 0 step 950 avg_loss=64.560
[  68.6s] epoch 0 step 1000 avg_loss=64.029
[  70.2s] epoch 0 step 1050 avg_loss=63.092
[  71.6s] epoch 0 step 1100 avg_loss=62.045
[  73.4s] epoch 0 step 1150 avg_loss=61.248
[  75.1s] epoch 0 step 1200 avg_loss=60.643
[  77.1s] epoch 0 step 1250 avg_loss=60.259
[  78.6s] epoch 0 step 1300 avg_loss=59.481
[  80.3s] epoch 0 step 1350 avg_loss=59.025
[  82.0s] epoch 0 step 1400 avg_loss=58.417
[  83.6s] epoch 0 step 1450 avg_loss=57.902
[  85.2s] epoch 0 step 1500 avg_loss=57.354
[  86.8s] epoch 0 step 1550 avg_loss=56.825
[  88.5s] epoch 0 step 1600 avg_loss=56.314
[  90.2s] epoch 0 step 1650 avg_loss=55.705
[  92.1s] epoch 0 step 1700 avg_loss=55.216
[  93.6s] epoch 0 step 1750 avg_loss=54.549
[  95.4s] epoch 0 step 1800 avg_loss=54.205
[  97.0s] epoch 0 step 1850 avg_loss=53.726
[  98.6s] epoch 0 step 1900 avg_loss=53.237
[ 100.4s] epoch 0 step 1950 avg_loss=52.911
[ 101.9s] epoch 0 step 2000 avg_loss=52.340
[ 103.8s] epoch 0 step 2050 avg_loss=52.183
[ 105.3s] epoch 0 step 2100 avg_loss=51.830
[ 107.0s] epoch 0 step 2150 avg_loss=51.408
[ 109.0s] epoch 0 step 2200 avg_loss=51.228
[ 110.6s] epoch 0 step 2250 avg_loss=50.886
[ 112.3s] epoch 0 step 2300 avg_loss=50.506
[ 113.9s] epoch 0 step 2350 avg_loss=50.217
[ 115.3s] epoch 0 step 2400 avg_loss=49.815
[ 117.0s] epoch 0 step 2450 avg_loss=49.519
[ 118.6s] epoch 0 step 2500 avg_loss=49.164
[ 120.4s] epoch 0 step 2550 avg_loss=48.913
[ 121.9s] epoch 0 step 2600 avg_loss=48.583
[ 123.5s] epoch 0 step 2650 avg_loss=48.359
[ 125.4s] epoch 0 step 2700 avg_loss=48.337
[ 127.1s] epoch 0 step 2750 avg_loss=48.080
[ 128.9s] epoch 0 step 2800 avg_loss=47.913
[ 130.5s] epoch 0 step 2850 avg_loss=47.657
[ 132.1s] epoch 0 step 2900 avg_loss=47.398
[ 133.8s] epoch 0 step 2950 avg_loss=47.193
[ 135.4s] epoch 0 step 3000 avg_loss=46.998
[ 137.4s] epoch 0 step 3050 avg_loss=46.809
[ 139.1s] epoch 0 step 3100 avg_loss=46.661
[ 140.8s] epoch 0 step 3150 avg_loss=46.445
[ 142.6s] epoch 0 step 3200 avg_loss=46.248
[ 144.1s] epoch 0 step 3250 avg_loss=45.997
[ 145.7s] epoch 0 step 3300 avg_loss=45.784
[ 147.4s] epoch 0 step 3350 avg_loss=45.601
[ 149.1s] epoch 0 step 3400 avg_loss=45.383
[ 151.0s] epoch 0 step 3450 avg_loss=45.265
[ 152.9s] epoch 0 step 3500 avg_loss=45.110
[ 154.7s] epoch 0 step 3550 avg_loss=45.022
[ 156.5s] epoch 0 step 3600 avg_loss=44.805
[ 158.3s] epoch 0 step 3650 avg_loss=44.635
[ 160.1s] epoch 0 step 3700 avg_loss=44.438
[ 162.1s] epoch 0 step 3750 avg_loss=44.261
[ 163.7s] epoch 0 step 3800 avg_loss=43.979
[ 165.7s] epoch 0 step 3850 avg_loss=43.811
[ 167.5s] epoch 0 step 3900 avg_loss=43.653
[ 169.0s] epoch 0 step 3950 avg_loss=43.418
[ 170.9s] epoch 0 step 4000 avg_loss=43.331
[ 172.4s] epoch 0 step 4050 avg_loss=43.115
[ 174.3s] epoch 0 step 4100 avg_loss=42.937
[ 176.2s] epoch 0 step 4150 avg_loss=42.804
[ 178.1s] epoch 0 step 4200 avg_loss=42.668
[ 179.9s] epoch 0 step 4250 avg_loss=42.490
[ 182.0s] epoch 0 step 4300 avg_loss=42.413
[ 183.9s] epoch 0 step 4350 avg_loss=42.297
[ 185.7s] epoch 0 step 4400 avg_loss=42.145
[ 187.4s] epoch 0 step 4450 avg_loss=42.011
[ 189.4s] epoch 0 step 4500 avg_loss=41.844
[ 191.1s] epoch 0 step 4550 avg_loss=41.715
[ 193.2s] epoch 0 step 4600 avg_loss=41.640
[ 195.1s] epoch 0 step 4650 avg_loss=41.549
[ 196.5s] epoch 0 step 4700 avg_loss=41.363
[ 198.2s] epoch 0 step 4750 avg_loss=41.241
[ 199.8s] epoch 0 step 4800 avg_loss=41.071
[ 201.2s] epoch 0 step 4850 avg_loss=40.853
[ 202.7s] epoch 0 step 4900 avg_loss=40.740
[ 204.1s] epoch 0 step 4950 avg_loss=40.571
[ 205.6s] epoch 0 step 5000 avg_loss=40.417
[ 207.6s] epoch 0 step 5050 avg_loss=40.347
[ 209.2s] epoch 0 step 5100 avg_loss=40.215
[ 210.6s] epoch 0 step 5150 avg_loss=40.062
[ 212.4s] epoch 0 step 5200 avg_loss=39.982
[ 214.0s] epoch 0 step 5250 avg_loss=39.829
[ 215.7s] epoch 0 step 5300 avg_loss=39.694
[ 217.4s] epoch 0 step 5350 avg_loss=39.607
[ 219.0s] epoch 0 step 5400 avg_loss=39.517
[ 220.7s] epoch 0 step 5450 avg_loss=39.385
