step	train_avg_loss	dev_rank1_f1	dev_edge_p	dev_edge_r	wall_s
250	34.852980	0.394816	0.413982	0.377346	275.16
500	22.107981	0.422987	0.419242	0.426801	570.21
750	19.409990	0.461323	0.450455	0.472729	850.18
1000	17.842091	0.472317	0.458620	0.486857	1131.74
1250	16.721258	0.479178	0.496244	0.463247	1414.39
1500	15.916682	0.455500	0.436101	0.476704	1696.71
1750	15.139163	0.494697	0.487198	0.502429	1992.49
2000	14.396150	0.470991	0.459111	0.483502	2274.80
2250	13.916551	0.466051	0.458286	0.474083	2561.25
2500	13.289708	0.469534	0.461490	0.477863	2869.97
2750	12.839875	0.465919	0.437479	0.498314	3174.32
3000	12.321598	0.467065	0.481883	0.453131	3479.18
3250	11.865510	0.479622	0.474923	0.484415	3781.26
3500	11.399566	0.483943	0.465422	0.504000	4067.52
3750	10.944020	0.488067	0.478131	0.498425	4350.86
4000	10.490517	0.463321	0.459158	0.467561	4628.74
4250	10.212710	0.493937	0.488545	0.499449	4903.53
4500	9.744488	0.494616	0.488824	0.500547	5177.59
4750	9.448031	0.493433	0.487314	0.499708	5447.62
5000	9.051461	0.529042	0.543404	0.515420	5717.50
5250	8.700948	0.511092	0.501138	0.521450	5989.58
5500	8.453740	0.513517	0.520409	0.506804	6261.26
5750	8.133854	0.495182	0.470907	0.522095	6533.64
6000	7.937217	0.494842	0.490240	0.499530	6804.92
6250	7.588474	0.481662	0.476757	0.486669	7077.55
6500	7.281380	0.531146	0.530048	0.532247	7346.66
6750	7.025953	0.486565	0.483791	0.489372	7619.61
7000	6.821765	0.491782	0.485258	0.498483	7890.15
7250	6.662922	0.481863	0.473043	0.491019	8165.99
7500	6.392839	0.494801	0.484039	0.506052	8446.53
7750	6.258713	0.510680	0.498768	0.523175	8728.39
8000	6.061472	0.506962	0.500459	0.513636	9010.74
