[   0.0s] loading gold from runs/encoder_gold_v4b_all.jsonl
[   1.0s] 986 gold records
[   1.0s] holdout mode: 98 held-out sentences, pool=790, train subset=788 (subset_seed=0)
[   1.0s] loading USVS from /home/user/NAOMI/consciousness_transformer/data/usvs
[  18.6s] USVS loaded: 117679 senses, d_axes=607
[  18.6s] pos_vocab=15 role_vocab=40
[  18.6s] policy params: 343,495 (~1.374 MB fp32)
[  18.6s] building features + derivations for 788 train records
[  20.6s] 2856 teacher-forced derivations
[  21.1s] dev-holdout eval targets from runs/encoder_gold_v2.jsonl: matched=98 missing=0
[  25.0s] epoch 0 step 50 avg_loss=93.741
[  26.8s] epoch 0 step 100 avg_loss=90.856
[  28.8s] epoch 0 step 150 avg_loss=90.408
[  30.5s] epoch 0 step 200 avg_loss=84.644
[  32.4s] epoch 0 step 250 avg_loss=82.182
[  34.2s] epoch 0 step 300 avg_loss=80.601
[  36.2s] epoch 0 step 350 avg_loss=79.826
[  38.2s] epoch 0 step 400 avg_loss=78.450
[  40.0s] epoch 0 step 450 avg_loss=76.799
[  41.6s] epoch 0 step 500 avg_loss=74.941
[  43.5s] epoch 0 step 550 avg_loss=74.029
[  45.0s] epoch 0 step 600 avg_loss=72.041
[  46.8s] epoch 0 step 650 avg_loss=70.680
[  48.6s] epoch 0 step 700 avg_loss=69.716
[  50.5s] epoch 0 step 750 avg_loss=68.658
[  52.4s] epoch 0 step 800 avg_loss=67.804
[  54.4s] epoch 0 step 850 avg_loss=67.090
[  56.3s] epoch 0 step 900 avg_loss=66.387
[  58.0s] epoch 0 step 950 avg_loss=65.571
[  59.9s] epoch 0 step 1000 avg_loss=64.653
[  61.8s] epoch 0 step 1050 avg_loss=63.874
[  63.6s] epoch 0 step 1100 avg_loss=62.928
[  65.6s] epoch 0 step 1150 avg_loss=62.267
[  67.7s] epoch 0 step 1200 avg_loss=61.790
[  70.0s] epoch 0 step 1250 avg_loss=61.290
[  71.8s] epoch 0 step 1300 avg_loss=60.547
[  73.8s] epoch 0 step 1350 avg_loss=60.085
[  75.7s] epoch 0 step 1400 avg_loss=59.590
[  77.7s] epoch 0 step 1450 avg_loss=59.087
[  79.6s] epoch 0 step 1500 avg_loss=58.442
[  81.4s] epoch 0 step 1550 avg_loss=57.943
[  83.4s] epoch 0 step 1600 avg_loss=57.494
[  85.5s] epoch 0 step 1650 avg_loss=57.222
[  87.6s] epoch 0 step 1700 avg_loss=56.784
[  89.5s] epoch 0 step 1750 avg_loss=56.390
[  91.2s] epoch 0 step 1800 avg_loss=55.804
[  93.1s] epoch 0 step 1850 avg_loss=55.335
[  95.1s] epoch 0 step 1900 avg_loss=54.915
[  97.0s] epoch 0 step 1950 avg_loss=54.481
[  98.7s] epoch 0 step 2000 avg_loss=53.972
[ 100.8s] epoch 0 step 2050 avg_loss=53.668
[ 102.8s] epoch 0 step 2100 avg_loss=53.256
[ 104.9s] epoch 0 step 2150 avg_loss=52.986
[ 106.7s] epoch 0 step 2200 avg_loss=52.528
[ 108.4s] epoch 0 step 2250 avg_loss=52.172
[ 110.2s] epoch 0 step 2300 avg_loss=51.836
[ 112.0s] epoch 0 step 2350 avg_loss=51.570
[ 113.9s] epoch 0 step 2400 avg_loss=51.232
[ 115.5s] epoch 0 step 2450 avg_loss=50.856
[ 117.5s] epoch 0 step 2500 avg_loss=50.681
[ 119.5s] epoch 0 step 2550 avg_loss=50.388
[ 121.5s] epoch 0 step 2600 avg_loss=50.174
[ 123.3s] epoch 0 step 2650 avg_loss=49.894
[ 125.0s] epoch 0 step 2700 avg_loss=49.609
[ 126.8s] epoch 0 step 2750 avg_loss=49.336
[ 128.5s] epoch 0 step 2800 avg_loss=49.020
[ 130.2s] epoch 0 step 2850 avg_loss=48.799
[ 130.5s] === epoch 0 done: avg_loss=48.749 (n=2856 derivations) ===
[ 132.0s] epoch 1 step 2900 avg_loss=32.220
[ 133.9s] epoch 1 step 2950 avg_loss=35.854
[ 136.0s] epoch 1 step 3000 avg_loss=35.826
[ 137.8s] epoch 1 step 3050 avg_loss=34.364
[ 139.6s] epoch 1 step 3100 avg_loss=34.379
[ 141.5s] epoch 1 step 3150 avg_loss=33.850
[ 143.3s] epoch 1 step 3200 avg_loss=33.876
[ 145.2s] epoch 1 step 3250 avg_loss=33.833
[ 147.0s] epoch 1 step 3300 avg_loss=32.814
[ 148.8s] epoch 1 step 3350 avg_loss=32.703
[ 150.8s] epoch 1 step 3400 avg_loss=32.611
[ 152.5s] epoch 1 step 3450 avg_loss=32.242
[ 154.2s] epoch 1 step 3500 avg_loss=31.971
[ 156.2s] epoch 1 step 3550 avg_loss=31.790
[ 158.1s] epoch 1 step 3600 avg_loss=31.946
[ 159.8s] epoch 1 step 3650 avg_loss=31.802
[ 161.8s] epoch 1 step 3700 avg_loss=32.067
[ 163.8s] epoch 1 step 3750 avg_loss=32.552
[ 165.6s] epoch 1 step 3800 avg_loss=32.460
[ 167.5s] epoch 1 step 3850 avg_loss=32.397
[ 169.4s] epoch 1 step 3900 avg_loss=32.448
[ 171.3s] epoch 1 step 3950 avg_loss=32.365
[ 173.2s] epoch 1 step 4000 avg_loss=32.328
[ 175.3s] epoch 1 step 4050 avg_loss=32.335
[ 177.2s] epoch 1 step 4100 avg_loss=32.355
[ 179.2s] epoch 1 step 4150 avg_loss=32.409
[ 180.9s] epoch 1 step 4200 avg_loss=32.311
[ 182.7s] epoch 1 step 4250 avg_loss=32.341
[ 184.5s] epoch 1 step 4300 avg_loss=32.065
[ 186.2s] epoch 1 step 4350 avg_loss=31.976
[ 188.2s] epoch 1 step 4400 avg_loss=32.025
[ 190.3s] epoch 1 step 4450 avg_loss=32.148
[ 192.0s] epoch 1 step 4500 avg_loss=32.017
[ 193.9s] epoch 1 step 4550 avg_loss=32.010
[ 195.8s] epoch 1 step 4600 avg_loss=31.804
[ 197.9s] epoch 1 step 4650 avg_loss=31.715
[ 199.9s] epoch 1 step 4700 avg_loss=31.576
[ 201.7s] epoch 1 step 4750 avg_loss=31.458
[ 203.8s] epoch 1 step 4800 avg_loss=31.348
[ 205.9s] epoch 1 step 4850 avg_loss=31.425
[ 208.0s] epoch 1 step 4900 avg_loss=31.464
[ 210.0s] epoch 1 step 4950 avg_loss=31.410
[ 211.9s] epoch 1 step 5000 avg_loss=31.349
[ 213.8s] epoch 1 step 5050 avg_loss=31.258
[ 215.6s] epoch 1 step 5100 avg_loss=31.210
[ 217.3s] epoch 1 step 5150 avg_loss=31.095
[ 219.3s] epoch 1 step 5200 avg_loss=31.052
[ 221.3s] epoch 1 step 5250 avg_loss=31.086
[ 223.0s] epoch 1 step 5300 avg_loss=30.984
[ 224.6s] epoch 1 step 5350 avg_loss=30.815
[ 226.4s] epoch 1 step 5400 avg_loss=30.742
[ 228.4s] epoch 1 step 5450 avg_loss=30.697
[ 230.2s] epoch 1 step 5500 avg_loss=30.687
[ 232.1s] epoch 1 step 5550 avg_loss=30.679
[ 234.1s] epoch 1 step 5600 avg_loss=30.715
[ 236.0s] epoch 1 step 5650 avg_loss=30.646
[ 237.8s] epoch 1 step 5700 avg_loss=30.485
[ 238.2s] === epoch 1 done: avg_loss=30.445 (n=2856 derivations) ===
[ 239.6s] epoch 2 step 5750 avg_loss=29.100
[ 241.5s] epoch 2 step 5800 avg_loss=28.625
[ 243.3s] epoch 2 step 5850 avg_loss=27.206
[ 245.1s] epoch 2 step 5900 avg_loss=27.511
[ 247.0s] epoch 2 step 5950 avg_loss=28.003
[ 248.7s] epoch 2 step 6000 avg_loss=27.410
[ 250.4s] epoch 2 step 6050 avg_loss=27.135
[ 252.2s] epoch 2 step 6100 avg_loss=26.980
[ 253.8s] epoch 2 step 6150 avg_loss=26.666
[ 255.4s] epoch 2 step 6200 avg_loss=26.071
[ 257.3s] epoch 2 step 6250 avg_loss=26.573
[ 259.1s] epoch 2 step 6300 avg_loss=26.563
[ 261.0s] epoch 2 step 6350 avg_loss=27.015
[ 262.4s] epoch 2 step 6400 avg_loss=26.606
[ 264.4s] epoch 2 step 6450 avg_loss=26.706
[ 266.1s] epoch 2 step 6500 avg_loss=26.861
[ 267.8s] epoch 2 step 6550 avg_loss=26.731
[ 269.7s] epoch 2 step 6600 avg_loss=26.813
[ 271.5s] epoch 2 step 6650 avg_loss=26.538
[ 273.1s] epoch 2 step 6700 avg_loss=26.355
[ 275.0s] epoch 2 step 6750 avg_loss=26.501
[ 277.0s] epoch 2 step 6800 avg_loss=26.501
[ 278.6s] epoch 2 step 6850 avg_loss=26.451
[ 280.4s] epoch 2 step 6900 avg_loss=26.319
[ 282.1s] epoch 2 step 6950 avg_loss=26.247
[ 283.7s] epoch 2 step 7000 avg_loss=26.096
[ 285.5s] epoch 2 step 7050 avg_loss=26.030
[ 287.1s] epoch 2 step 7100 avg_loss=26.018
[ 289.1s] epoch 2 step 7150 avg_loss=26.206
[ 290.7s] epoch 2 step 7200 avg_loss=26.066
[ 292.5s] epoch 2 step 7250 avg_loss=25.999
[ 294.2s] epoch 2 step 7300 avg_loss=25.949
[ 296.1s] epoch 2 step 7350 avg_loss=26.145
[ 298.0s] epoch 2 step 7400 avg_loss=26.038
[ 300.0s] epoch 2 step 7450 avg_loss=26.114
[ 302.0s] epoch 2 step 7500 avg_loss=26.144
[ 303.7s] epoch 2 step 7550 avg_loss=26.111
[ 305.5s] epoch 2 step 7600 avg_loss=26.038
[ 307.0s] epoch 2 step 7650 avg_loss=25.823
[ 308.6s] epoch 2 step 7700 avg_loss=25.691
[ 310.5s] epoch 2 step 7750 avg_loss=25.816
[ 312.1s] epoch 2 step 7800 avg_loss=25.830
[ 314.0s] epoch 2 step 7850 avg_loss=25.838
