step	train_avg_loss	dev_rank1_f1	dev_edge_p	dev_edge_r	wall_s
250	25.771187	0.333132	0.288565	0.393979	294.96
500	18.220376	0.354076	0.311799	0.409616	594.35
750	13.973534	0.363247	0.318027	0.423459	893.30
1000	10.821407	0.372988	0.327180	0.433712	1194.25
1250	9.644092	0.374536	0.337123	0.421290	1489.11
1500	8.058603	0.367402	0.326939	0.419294	1782.42
1750	6.986066	0.371727	0.344065	0.404226	2078.75
2000	6.462370	0.366945	0.318570	0.432640	2407.08
2250	5.978853	0.348242	0.293733	0.427591	2710.25
2500	5.357383	0.355823	0.310223	0.417139	3053.40
2750	4.912872	0.349962	0.302946	0.414251	3383.50
3000	4.602117	0.366427	0.321184	0.426504	3673.58
3250	4.254004	0.350921	0.298566	0.425541	3964.00
3500	4.320382	0.378185	0.328704	0.445203	4268.09
3750	4.086438	0.380803	0.337542	0.436783	4554.69
4000	3.770576	0.366287	0.315411	0.436733	4850.75
4250	3.370702	0.388324	0.359177	0.422620	5157.35
4500	3.833953	0.360388	0.313331	0.424075	5451.31
4750	3.720780	0.383538	0.340554	0.438941	5739.48
5000	3.516295	0.370844	0.324916	0.431892	6028.72
5250	3.277549	0.375143	0.347857	0.407073	6322.53
5500	3.056356	0.370593	0.335807	0.413420	6628.92
5750	3.438665	0.339774	0.294885	0.400783	6921.06
6000	3.266393	0.367289	0.331887	0.411147	7209.16
6250	3.191832	0.371953	0.339313	0.411539	7494.44
6500	2.957262	0.380608	0.352442	0.413667	7782.61
6750	3.265274	0.348792	0.306296	0.404981	8114.76
7000	3.103043	0.384404	0.348840	0.428041	8446.32
7250	3.032304	0.376132	0.336482	0.426375	8774.19
7500	2.793598	0.365823	0.318885	0.428964	9063.08
7750	2.478150	0.363159	0.331464	0.401555	9387.16
8000	3.036745	0.365155	0.330477	0.407965	9705.29
