step	train_avg_loss	dev_rank1_f1	dev_edge_p	dev_edge_r	wall_s
250	23.735209	0.295643	0.263009	0.337523	375.71
500	15.746943	0.324913	0.277443	0.391980	758.93
750	10.628711	0.342826	0.296779	0.405787	1109.12
1000	7.000929	0.358586	0.310310	0.424650	1453.01
1250	5.362183	0.359456	0.312601	0.422832	1800.81
1500	4.165195	0.325245	0.285828	0.377271	2151.81
1750	3.257315	0.344050	0.289623	0.423669	2493.59
2000	2.357624	0.348406	0.313857	0.391503	2848.53
2250	2.181416	0.354222	0.313335	0.407381	3196.70
2500	1.784935	0.358137	0.316814	0.411857	3532.96
2750	1.792737	0.348523	0.301762	0.412434	3875.49
3000	1.633643	0.356851	0.306076	0.427824	4223.84
3250	1.530497	0.373241	0.332864	0.424767	4563.77
3500	1.482153	0.368228	0.325256	0.424283	4898.06
3750	1.135392	0.359096	0.315598	0.416501	5243.97
4000	1.084793	0.355178	0.306156	0.422892	5588.90
4250	1.149851	0.375132	0.332761	0.429867	5935.31
4500	1.142197	0.375270	0.327350	0.439625	6276.76
4750	1.136572	0.349881	0.304867	0.410492	6620.34
5000	1.152081	0.361908	0.309768	0.435152	6992.40
5250	1.092808	0.379329	0.331435	0.443401	7358.32
5500	0.902557	0.360612	0.303711	0.443749	7706.12
5750	1.085262	0.375934	0.327220	0.441689	8048.63
6000	1.163451	0.355027	0.307230	0.420435	8382.40
6250	1.022740	0.364558	0.314567	0.433441	8723.97
6500	0.933803	0.370167	0.323468	0.432624	9062.19
6750	0.976005	0.382256	0.328577	0.456899	9395.14
7000	0.971746	0.366437	0.307792	0.452690	9725.01
7250	0.968191	0.368387	0.316947	0.439760	10059.49
7500	1.184646	0.349993	0.293485	0.433449	10416.54
7750	1.002691	0.368152	0.316888	0.439202	10763.19
8000	0.979707	0.360271	0.306229	0.437474	11128.81
